,X_1,epsilon_2,sigma_2,mass_2,k_12,BoxLength,Dself_1,Dself_1_err,Dself_2,Dself_2_err,Viscosity,Viscosity_err,num_particles,visc_rel_err,zeta
97,0.3,0.8,1.0,1.0,-0.3,8.3811,0.02456,3e-05,0.02677,3e-05,3.541,0.05,500,1.412030499858797,0.44469839202156053
98,0.3,0.8,1.0,1.0,-0.6,8.2783,0.01475,3e-05,0.01693,2e-05,5.898,0.072,500,1.2207527975584944,0.4614717755967953
99,0.3,0.6,1.0,1.0,0.05,8.8489,0.0698,7e-05,0.07794,7e-05,1.119,0.016,500,1.4298480786416443,0.37783376414592973
100,0.3,0.6,1.0,1.0,0.0,8.8016,0.06581,7e-05,0.07296,3e-05,1.209,0.011,500,0.9098428453267161,0.38395802035079524
101,0.3,0.6,1.0,1.0,-0.3,8.5829,0.04378,5e-05,0.04917,3e-05,1.857,0.024,500,1.2924071082390953,0.41406304251336673
102,0.3,0.6,1.0,1.0,-0.6,8.4294,0.02833,4e-05,0.03304,3e-05,2.907,0.027,500,0.9287925696594428,0.4370978174977629
103,0.3,0.5,1.0,1.0,-0.3,8.7565,0.06039,8e-05,0.06924,7e-05,1.293,0.008,500,0.6187161639597836,0.38992130972672523
104,0.3,0.5,1.0,1.0,-0.6,8.5518,0.04009,6e-05,0.04712,4e-05,1.993,0.028,500,1.4049172102358254,0.4185969118707078
105,0.5,1.0,1.6,4.096,0.05,11.4423,0.04345,0.0001,0.02136,2e-05,2.489,0.039,500,1.5668943350743272,0.44527474121761557
106,0.5,1.0,1.6,4.096,0.0,11.4123,0.04075,5e-05,0.01998,3e-05,2.656,0.02,500,0.753012048192771,0.4487955183758634
107,0.5,1.0,1.6,4.096,-0.3,11.2482,0.02505,4e-05,0.01249,2e-05,4.46,0.064,500,1.4349775784753365,0.46872591010517894
108,0.5,1.0,1.6,4.096,-0.6,11.1179,0.014,3e-05,0.007,1e-05,8.086,0.131,500,1.6200840959683405,0.4853999865257715
109,0.5,0.8,1.6,4.096,0.05,11.6439,0.06038,8e-05,0.03312,3e-05,1.592,0.017,500,1.0678391959798996,0.4225446909240563
110,0.5,0.8,1.6,4.096,0.0,11.6023,0.05752,0.00011,0.03114,3e-05,1.709,0.03,500,1.7554125219426564,0.427106103698616
111,0.5,0.8,1.6,4.096,-0.3,11.3917,0.03864,8e-05,0.02072,4e-05,2.624,0.072,500,2.74390243902439,0.4512346405818147
